Partlist

Exported from aircat.brd at 24/04/2014 01:29:52

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                              Package                   Library                        Position (inch)       Orientation
R8       7.5k                               R0603                     rcl                            (0.5625 -0.2)         R270
R9       7.5k                               R0603                     rcl                            (0.6875 -0.2)         R270
R10      360                                R0603                     rcl                            (0.5625 -0.5)         R270
R11      360                                R0603                     rcl                            (0.6875 -0.5)         R270
R12      5.6k                               R0603                     rcl                            (0.5625 -0.8)         R90
R13      47                                 R0603                     rcl                            (0.6875 -0.8)         R270
R14      5.6k                               R0603                     rcl                            (0.6875 -0.35)        R90
R15      7.5k                               R0603                     rcl                            (0.3125 -0.2)         R270
R16      7.5k                               R0603                     rcl                            (0.4375 -0.2)         R270
R17      360                                R0603                     rcl                            (0.3125 -0.5)         R270
R18      360                                R0603                     rcl                            (0.4375 -0.5)         R270
R19      5.6k                               R0603                     rcl                            (0.3125 -0.8)         R90
R20      47                                 R0603                     rcl                            (0.4375 -0.8)         R270
R21      5.6k                               R0603                     rcl                            (0.4375 -0.35)        R90
R22      7.5k                               R0603                     rcl                            (0.0625 -0.2)         R270
R23      7.5k                               R0603                     rcl                            (0.1875 -0.2)         R270
R24      360                                R0603                     rcl                            (0.0625 -0.5)         R270
R25      360                                R0603                     rcl                            (0.1875 -0.5)         R270
R26      5.6k                               R0603                     rcl                            (0.0625 -0.8)         R90
R27      47                                 R0603                     rcl                            (0.1875 -0.8)         R270
R28      5.6k                               R0603                     rcl                            (0.1875 -0.35)        R90
R29      7.5k                               R0603                     rcl                            (-0.1875 -0.2)        R270
R30      7.5k                               R0603                     rcl                            (-0.0625 -0.2)        R270
R31      360                                R0603                     rcl                            (-0.1875 -0.5)        R270
R32      360                                R0603                     rcl                            (-0.0625 -0.5)        R270
R33      5.6k                               R0603                     rcl                            (-0.1875 -0.8)        R90
R34      47                                 R0603                     rcl                            (-0.0625 -0.8)        R270
R35      5.6k                               R0603                     rcl                            (-0.0625 -0.35)       R90
R36      7.5k                               R0603                     rcl                            (-0.4375 -0.2)        R270
R37      7.5k                               R0603                     rcl                            (-0.3125 -0.2)        R270
R38      360                                R0603                     rcl                            (-0.4375 -0.5)        R270
R39      360                                R0603                     rcl                            (-0.3125 -0.5)        R270
R40      5.6k                               R0603                     rcl                            (-0.4375 -0.8)        R270
R41      47                                 R0603                     rcl                            (-0.3125 -0.8)        R270
R42      5.6k                               R0603                     rcl                            (-0.3125 -0.35)       R90
R43      3k                                 R0603                     rcl                            (0.85 0.6)            R180
R44      1.5k                               R0603                     rcl                            (0.7 0.6)             R180
R45      1.5k                               R0603                     rcl                            (0.575 0.65)          R270
R46      3k                                 R0603                     rcl                            (0.85 0.4)            R180
R47      1.5k                               R0603                     rcl                            (0.7 0.4)             R180
R48      1.5k                               R0603                     rcl                            (0.575 0.5)           R270
R49      3k                                 R0603                     rcl                            (0.85 0.2)            R180
R50      1.5k                               R0603                     rcl                            (0.7 0.2)             R180
R51      1.5k                               R0603                     rcl                            (0.575 0.3)           R270
R52      7.5k                               R0603                     rcl                            (-0.6875 -0.2)        R270
R53      7.5k                               R0603                     rcl                            (-0.5625 -0.2)        R270
R54      360                                R0603                     rcl                            (-0.6875 -0.5)        R270
R55      360                                R0603                     rcl                            (-0.5625 -0.5)        R270
R56      5.6k                               R0603                     rcl                            (-0.6875 -0.8)        R270
R57      47                                 R0603                     rcl                            (-0.5625 -0.8)        R270
R58      5.6k                               R0603                     rcl                            (-0.5625 -0.35)       R90
R59      7.5k                               R0603                     rcl                            (-0.9375 -0.2)        R270
R60      7.5k                               R0603                     rcl                            (-0.8125 -0.2)        R270
R61      360                                R0603                     rcl                            (-0.9375 -0.5)        R270
R62      360                                R0603                     rcl                            (-0.8125 -0.5)        R270
R63      5.6k                               R0603                     rcl                            (-0.9375 -0.8)        R270
R64      47                                 R0603                     rcl                            (-0.8125 -0.8)        R270
R65      5.6k                               R0603                     rcl                            (-0.8125 -0.35)       R90
SV1                                         MA03-2                    con-lstb                       (0.9375 1.0125)       R90
SV2      AUDIO OUTPUT                       MA08-2                    con-lstb                       (-0.6 -1.05)          R0
TP1      -5V                                B1,27                     testpad                        (-0.975 1.075)        R0
TP2      +5V                                B1,27                     testpad                        (-0.875 1.075)        R0
TP3      GND                                B1,27                     testpad                        (-0.775 1.075)        R0
TP4      +3V3                               B1,27                     testpad                        (-0.5625 1.075)       R0
U1       PCM3168APAP                        QFP50P1200X1200X120-65N   pcm3168                        (0 0.4)               R0
U2       OPA1644AIPW                        SOP65P640X120-14N         OPA1644                        (0.5 -0.38125)        MR0
U3       OPA1644AIPW                        SOP65P640X120-14N         OPA1644                        (-0.5 -0.38125)       MR0
U4       OPA1644AIPW                        SOP65P640X120-14N         OPA1644                        (0.75 0.45)           MR270
U6       LM2662M                            SOIC127P620X175-8N        TI-LM2662M                     (-0.85 0.9)           MR0
